from,to
1,15
1,16
1,17
1,18
1,19
1,20
1,70
2,15
2,21
2,22
2,23
2,24
2,25
2,26
2,72
3,15
3,17
3,27
3,28
3,29
3,70
4,15
4,30
4,31
4,32
4,69
5,15
5,33
5,21
5,34
5,35
5,36
5,37
5,73
6,15
6,38
6,39
6,40
6,41
6,74
7,15
7,42
7,43
7,44
7,45
7,71
8,15
8,46
8,47
8,48
8,49
8,50
8,51
8,52
8,75
9,15
9,53
9,54
9,70
10,15
10,55
10,32
10,69
11,15
11,56
11,57
11,58
11,71
12,15
12,59
12,60
12,61
12,69
13,15
13,62
13,63
13,64
13,65
13,66
13,67
13,76
14,15
14,68
14,32
14,69
